name,url,State,Party,Served,District
"Representative Krebs, John H.",https://www.congress.gov/member/john-krebs/K000325,California,Democratic,House: 1975-1979,17
"Representative Kreidler, Mike",https://www.congress.gov/member/mike-kreidler/K000328,Washington,Democratic,House: 1993-1995,9
"Representative Krishnamoorthi, Raja",https://www.congress.gov/member/raja-krishnamoorthi/K000391,Illinois,Democratic,House: 2017-Present,8
"Senator Krueger, Robert C.",https://www.congress.gov/member/robert-krueger/K000333,Texas,Democratic,Senate: 1993-1995 House: 1975-1979,
"Representative Kucinich, Dennis J.",https://www.congress.gov/member/dennis-kucinich/K000336,Ohio,Democratic,House: 1997-2013,10
"Representative Kuhl, John R. ""Randy"", Jr.",https://www.congress.gov/member/john-kuhl/K000364,New York,Republican,House: 2005-2009,29
"Representative Kuster, Ann M.",https://www.congress.gov/member/ann-kuster/K000382,New Hampshire,Democratic,House: 2013-Present,2
"Representative Kustoff, David",https://www.congress.gov/member/david-kustoff/K000392,Tennessee,Republican,House: 2017-Present,8
"Representative Kuykendall, Dan H.",https://www.congress.gov/member/dan-kuykendall/K000348,Tennessee,Republican,House: 1967-1975,8
"Representative Kuykendall, Steven T.",https://www.congress.gov/member/steven-kuykendall/K000357,California,Republican,House: 1999-2001,36
"Senator Kyl, Jon",https://www.congress.gov/member/jon-kyl/K000352,Arizona,Republican,"Senate: 1995-2013, 2018-2019 House: 1987-1995",
"Representative Kyros, Peter N.",https://www.congress.gov/member/peter-kyros/K000356,Maine,Democratic,House: 1967-1975,1
"Representative Labrador, Raul R.",https://www.congress.gov/member/raul-labrador/L000573,Idaho,Republican,House: 2011-2019,1
"Representative LaFalce, John J.",https://www.congress.gov/member/john-lafalce/L000556,New York,Democratic,House: 1975-2003,29
"Representative Lagomarsino, Robert J.",https://www.congress.gov/member/robert-lagomarsino/L000020,California,Republican,House: 1973-1993,19
"Representative LaHood, Darin",https://www.congress.gov/member/darin-lahood/L000585,Illinois,Republican,House: 2015-Present,18
"Representative LaHood, Ray",https://www.congress.gov/member/ray-lahood/L000552,Illinois,Republican,House: 1995-2009,18
"Representative LaMalfa, Doug",https://www.congress.gov/member/doug-lamalfa/L000578,California,Republican,House: 2013-Present,1
"Representative Lamb, Conor",https://www.congress.gov/member/conor-lamb/L000588,Pennsylvania,Democratic,House: 2018-Present,17
"Representative Lamborn, Doug",https://www.congress.gov/member/doug-lamborn/L000564,Colorado,Republican,House: 2007-Present,5
"Representative Lampson, Nick",https://www.congress.gov/member/nick-lampson/L000043,Texas,Democratic,"House: 1997-2005, 2007-2009",22
"Representative Lancaster, H. Martin",https://www.congress.gov/member/martin-lancaster/L000045,North Carolina,Democratic,House: 1987-1995,3
"Representative Lance, Leonard",https://www.congress.gov/member/leonard-lance/L000567,New Jersey,Republican,House: 2009-2019,7
"Representative Landgrebe, Earl F.",https://www.congress.gov/member/earl-landgrebe/L000049,Indiana,Republican,House: 1969-1975,2
"Senator Landrieu, Mary L.",https://www.congress.gov/member/mary-landrieu/L000550,Louisiana,Democratic,Senate: 1997-2015,
"Representative Landrum, Phil M.",https://www.congress.gov/member/phillip-landrum/L000054,Georgia,Democratic,House: 1953-1977,9
"Representative Landry, Jeffrey M.",https://www.congress.gov/member/jeffrey-landry/L000574,Louisiana,Republican,House: 2011-2013,3
"Representative Langevin, James R.",https://www.congress.gov/member/james-langevin/L000559,Rhode Island,Democratic,House: 2001-Present,2
"Senator Lankford, James",https://www.congress.gov/member/james-lankford/L000575,Oklahoma,Republican,Senate: 2015-Present House: 2011-2015,
"Representative Lantos, Tom",https://www.congress.gov/member/tom-lantos/L000090,California,Democratic,House: 1981-2008,12
"Representative Largent, Steve",https://www.congress.gov/member/steve-largent/L000096,Oklahoma,Republican,House: 1993-2002,1
"Representative LaRocco, Larry",https://www.congress.gov/member/larry-larocco/L000098,Idaho,Democratic,House: 1991-1995,1
"Representative Larsen, Rick",https://www.congress.gov/member/rick-larsen/L000560,Washington,Democratic,House: 2001-Present,2
"Representative Larson, John B.",https://www.congress.gov/member/john-larson/L000557,Connecticut,Democratic,House: 1999-Present,1
"Representative Latham, Tom",https://www.congress.gov/member/tom-latham/L000111,Iowa,Republican,House: 1995-2015,3
"Representative LaTourette, Steven C.",https://www.congress.gov/member/steven-latourette/L000553,Ohio,Republican,House: 1995-2013,14
"Representative Latta, Delbert L.",https://www.congress.gov/member/delbert-latta/L000116,Ohio,Republican,House: 1959-1989,5
"Representative Latta, Robert E.",https://www.congress.gov/member/robert-latta/L000566,Ohio,Republican,House: 2007-Present,5
"Representative LaTurner, Jake",https://www.congress.gov/member/jake-laturner/L000266,Kansas,Republican,House: 2021-Present,2
"Representative Laughlin, Greg",https://www.congress.gov/member/greg-laughlin/L000119,Texas,Republican,House: 1989-1997,14
"Senator Lautenberg, Frank R.",https://www.congress.gov/member/frank-lautenberg/L000123,New Jersey,Democratic,"Senate: 1983-2001, 2003-2013",
"Representative Lawrence, Brenda L.",https://www.congress.gov/member/brenda-lawrence/L000581,Michigan,Democratic,House: 2015-Present,14
"Representative Lawson, Al, Jr.",https://www.congress.gov/member/al-lawson/L000586,Florida,Democratic,House: 2017-Present,5
"Senator Laxalt, Paul D.",https://www.congress.gov/member/paul-laxalt/L000148,Nevada,Republican,Senate: 1973-1987,
"Representative Lazio, Rick",https://www.congress.gov/member/rick-lazio/L000155,New York,Republican,House: 1993-2001,2
"Representative Leach, Claude (Buddy), Jr.",https://www.congress.gov/member/anthony-leach/L000167,Louisiana,Democratic,House: 1979-1981,4
"Representative Leach, James A.",https://www.congress.gov/member/jim-leach/L000169,Iowa,Republican,House: 1977-2007,2
"Senator Leahy, Patrick J.",https://www.congress.gov/member/patrick-leahy/L000174,Vermont,Democratic,Senate: 1975-Present,
"Representative Leath, Marvin",https://www.congress.gov/member/james-leath/L000180,Texas,Democratic,House: 1979-1991,11
"Representative LeBoutillier, John",https://www.congress.gov/member/john-leboutillier/L000547,New York,Republican,House: 1981-1983,6
"Representative Lederer, Raymond F.",https://www.congress.gov/member/raymond-lederer/L000187,Pennsylvania,Democratic,House: 1977-1983,3
"Representative Lee, Barbara",https://www.congress.gov/member/barbara-lee/L000551,California,Democratic,House: 1997-Present,13
"Representative Lee, Christopher J.",https://www.congress.gov/member/christopher-lee/L000568,New York,Republican,House: 2009-2011,26
"Representative Lee, Gary A.",https://www.congress.gov/member/gary-lee/L000192,New York,Republican,House: 1979-1983,33
"Senator Lee, Mike",https://www.congress.gov/member/mike-lee/L000577,Utah,Republican,Senate: 2011-Present,
"Representative Lee, Susie",https://www.congress.gov/member/susie-lee/L000590,Nevada,Democratic,House: 2019-Present,3
"Representative LeFante, Joseph A.",https://www.congress.gov/member/joseph-lefante/L000561,New Jersey,Democratic,House: 1977-1979,14
"Representative Leger Fernandez, Teresa",https://www.congress.gov/member/teresa-leger-fernandez/L000273,New Mexico,Democratic,House: 2021-Present,3
"Representative Leggett, Robert L.",https://www.congress.gov/member/robert-leggett/L000221,California,Democratic,House: 1963-1979,4
"Representative Lehman, Richard H.",https://www.congress.gov/member/richard-lehman/L000225,California,Democratic,House: 1983-1995,19
"Representative Lehman, William",https://www.congress.gov/member/william-lehman/L000226,Florida,Democratic,House: 1973-1993,17
"Representative Leland, Mickey",https://www.congress.gov/member/george-leland/L000237,Texas,Democratic,House: 1979-1991,18
"Senator LeMieux, George S.",https://www.congress.gov/member/george-lemieux/L000572,Florida,Republican,Senate: 2009-2011,
"Representative Lent, Norman F.",https://www.congress.gov/member/norman-lent/L000243,New York,Republican,House: 1971-1993,4
"Representative Lesko, Debbie",https://www.congress.gov/member/debbie-lesko/L000589,Arizona,Republican,House: 2018-Present,8
"Representative Letlow, Julia",https://www.congress.gov/member/julia-letlow/L000595,Louisiana,Republican,House: 2021-Present,5
"Representative Levin, Andy",https://www.congress.gov/member/andy-levin/L000592,Michigan,Democratic,House: 2019-Present,9
"Senator Levin, Carl",https://www.congress.gov/member/carl-levin/L000261,Michigan,Democratic,Senate: 1979-2015,
"Representative Levin, Mike",https://www.congress.gov/member/mike-levin/L000593,California,Democratic,House: 2019-Present,49
"Representative Levin, Sander M.",https://www.congress.gov/member/sander-levin/L000263,Michigan,Democratic,House: 1983-2019,9
"Representative Levine, Mel",https://www.congress.gov/member/mel-levine/L000264,California,Democratic,House: 1983-1993,27
"Representative Levitas, Elliott H.",https://www.congress.gov/member/elliott-levitas/L000265,Georgia,Democratic,House: 1975-1985,4
"Representative Levy, David A.",https://www.congress.gov/member/david-levy/L000267,New York,Republican,House: 1993-1995,4
"Representative Lewis, Jason",https://www.congress.gov/member/jason-lewis/L000587,Minnesota,Republican,House: 2017-2019,2
"Representative Lewis, Jerry",https://www.congress.gov/member/jerry-lewis/L000274,California,Republican,House: 1979-2013,41
"Representative Lewis, John",https://www.congress.gov/member/john-lewis/L000287,Georgia,Democratic,House: 1987-2020,5
"Representative Lewis, Ron",https://www.congress.gov/member/ron-lewis/L000293,Kentucky,Republican,House: 1993-2009,2
"Representative Lewis, Thomas F.",https://www.congress.gov/member/thomas-lewis/L000295,Florida,Republican,House: 1983-1995,16
"Senator Lieberman, Joseph I.",https://www.congress.gov/member/joseph-lieberman/L000304,Connecticut,Independent Democrat,Senate: 1989-2013,
"Representative Lieu, Ted",https://www.congress.gov/member/ted-lieu/L000582,California,Democratic,House: 2015-Present,33
"Representative Lightfoot, Jim",https://www.congress.gov/member/jim-lightfoot/L000305,Iowa,Republican,House: 1985-1997,3
"Senator Lincoln, Blanche L.",https://www.congress.gov/member/blanche-lincoln/L000035,Arkansas,Democratic,Senate: 1999-2011 House: 1993-1997,
"Representative Linder, John",https://www.congress.gov/member/john-linder/L000321,Georgia,Republican,House: 1993-2011,7
"Representative Lipinski, Daniel",https://www.congress.gov/member/daniel-lipinski/L000563,Illinois,Democratic,House: 2005-2021,3
"Representative Lipinski, William O.",https://www.congress.gov/member/william-lipinski/L000342,Illinois,Democratic,House: 1983-2005,3
"Representative Litton, Jerry",https://www.congress.gov/member/jerry-litton/L000360,Missouri,Democratic,House: 1973-1977,6
"Representative Livingston, Bob",https://www.congress.gov/member/robert-livingston/L000371,Louisiana,Republican,House: 1977-2001,1
"Representative Lloyd, James F.",https://www.congress.gov/member/jim-lloyd/L000379,California,Democratic,House: 1975-1981,35
"Representative Lloyd, Marilyn",https://www.congress.gov/member/marilyn-lloyd/L000381,Tennessee,Democratic,House: 1975-1995,3
"Representative LoBiondo, Frank A.",https://www.congress.gov/member/frank-lobiondo/L000554,New Jersey,Republican,House: 1995-2019,2
"Representative Loebsack, David",https://www.congress.gov/member/david-loebsack/L000565,Iowa,Democratic,House: 2007-2021,2
"Senator Loeffler, Kelly",https://www.congress.gov/member/kelly-loeffler/L000594,Georgia,Republican,Senate: 2020-2021,
"Representative Loeffler, Tom",https://www.congress.gov/member/thomas-loeffler/L000396,Texas,Republican,House: 1979-1987,21
"Representative Lofgren, Zoe",https://www.congress.gov/member/zoe-lofgren/L000397,California,Democratic,House: 1995-Present,19
"Representative Long, Billy",https://www.congress.gov/member/billy-long/L000576,Missouri,Republican,House: 2011-Present,7
"Representative Long, Cathy (Mrs. Gillis)",https://www.congress.gov/member/cathy-long/L000411,Louisiana,Democratic,House: 1985-1987,8
"Representative Long, Clarence D.",https://www.congress.gov/member/clarence-long/L000413,Maryland,Democratic,House: 1963-1985,2
"Representative Long, Gillis W.",https://www.congress.gov/member/gillis-long/L000417,Louisiana,Democratic,"House: 1963-1965, 1973-1987",8
"Representative Long, Jill L.",https://www.congress.gov/member/jill-long/L000420,Indiana,Democratic,House: 1989-1995,4
"Senator Long, Russell B.",https://www.congress.gov/member/russell-long/L000428,Louisiana,Democratic,Senate: 1947-1987,
"Representative Longley, James B., Jr.",https://www.congress.gov/member/james-longley/L000431,Maine,Republican,House: 1995-1997,1
"Senator Lott, Trent",https://www.congress.gov/member/chester-lott/L000447,Mississippi,Republican,Senate: 1989-2007 House: 1973-1989,
"Representative Loudermilk, Barry",https://www.congress.gov/member/barry-loudermilk/L000583,Georgia,Republican,House: 2015-Present,11
"Representative Love, Mia B.",https://www.congress.gov/member/mia-love/L000584,Utah,Republican,House: 2015-2019,4
"Representative Lowenthal, Alan S.",https://www.congress.gov/member/alan-lowenthal/L000579,California,Democratic,House: 2013-Present,47
"Representative Lowery, Bill",https://www.congress.gov/member/bill-lowery/L000479,California,Republican,House: 1981-1993,41
"Representative Lowey, Nita M.",https://www.congress.gov/member/nita-lowey/L000480,New York,Democratic,House: 1989-2021,17
"Representative Lowry, Mike",https://www.congress.gov/member/michael-lowry/L000486,Washington,Democratic,House: 1979-1989,7
"Representative Lucas, Frank D.",https://www.congress.gov/member/frank-lucas/L000491,Oklahoma,Republican,House: 1993-Present,3
"Representative Lucas, Ken",https://www.congress.gov/member/ken-lucas/L000558,Kentucky,Democratic,House: 1999-2005,4
"Representative Luetkemeyer, Blaine",https://www.congress.gov/member/blaine-luetkemeyer/L000569,Missouri,Republican,House: 2009-Present,3
"Senator Lugar, Richard G.",https://www.congress.gov/member/richard-lugar/L000504,Indiana,Republican,Senate: 1977-2013,
"Representative Lujan Grisham, Michelle",https://www.congress.gov/member/michelle-lujan-grisham/L000580,New Mexico,Democratic,House: 2013-2019,1
"Senator Lujan, Ben Ray",https://www.congress.gov/member/ben-lujan/L000570,New Mexico,Democratic,Senate: 2021-Present House: 2009-2021,
"Representative Lujan, Manuel, Jr.",https://www.congress.gov/member/manuel-lujan/L000506,New Mexico,Republican,House: 1969-1989,1
"Representative Luken, Charles",https://www.congress.gov/member/charles-luken/L000507,Ohio,Democratic,House: 1991-1993,1
"Representative Luken, Thomas A.",https://www.congress.gov/member/thomas-luken/L000508,Ohio,Democratic,"House: 1973-1975, 1977-1991",1
"Representative Lukens, Donald E.",https://www.congress.gov/member/donald-lukens/L000509,Ohio,Republican,"House: 1967-1971, 1987-1991",8
"Senator Lummis, Cynthia M.",https://www.congress.gov/member/cynthia-lummis/L000571,Wyoming,Republican,Senate: 2021-Present House: 2009-2017,
